Pgen,Pgenn,Temperature,Selection,Population,days since spawned,Tank,Compa No,Dish,egg number,hatched eggs,total_alive,Hatch_Pr,Incubation density,Pr_Alive
F5,5,L,G,LTG2,3,Tank4,4.1,4.1F5,81,175,256,0.627240143,738,0.346883469
F5,5,L,G,LTG2,4,Tank4,4.1,4.1F5,4,263,267,1.02734375,738,0.361788618
F5,5,L,C,LTC2,0,Tank4,4.2,4.2F5,442,0,442,0,442,1
F5,5,L,C,LTC2,1,Tank4,4.2,4.2F5,258,0,258,0,442,0.583710407
F5,5,L,C,LTC2,2,Tank4,4.2,4.2F5,238,2,240,0.007751938,442,0.542986425
F5,5,L,C,LTC2,3,Tank4,4.2,4.2F5,215,20,235,0.083333333,442,0.531674208
F5,5,L,C,LTC2,4,Tank4,4.2,4.2F5,54,171,225,0.727659574,442,0.509049774
F5,5,L,S,LTS2,0,Tank4,4.3,4.3F5,561,0,561,0,561,1
F5,5,L,S,LTS2,1,Tank4,4.3,4.3F5,496,0,496,0,561,0.884135472
F5,5,L,S,LTS2,2,Tank4,4.3,4.3F5,376,75,451,0.151209677,561,0.803921569
F5,5,L,S,LTS2,3,Tank4,4.3,4.3F5,126,296,422,0.65631929,561,0.752228164
F5,5,L,S,LTS2,4,Tank4,4.3,4.3F5,1,438,439,1.037914692,561,0.782531194
F5,5,L,C,LTC3,0,Tank5,5.1,5.1F5,478,0,478,0,478,1
F5,5,L,C,LTC3,1,Tank5,5.1,5.1F5,377,0,377,0,478,0.788702929
F5,5,L,C,LTC3,2,Tank5,5.1,5.1F5,334,8,342,0.021220159,478,0.715481172
F5,5,L,C,LTC3,3,Tank5,5.1,5.1F5,162,178,340,0.520467836,478,0.711297071
F5,5,L,C,LTC3,4,Tank5,5.1,5.1F5,5,340,345,1,478,0.721757322
F5,5,L,S,LTS3,0,Tank5,5.2,5.2F5,242,0,242,0,242,1
F5,5,L,S,LTS3,1,Tank5,5.2,5.2F5,79,0,79,0,242,0.326446281
F5,5,L,S,LTS3,2,Tank5,5.2,5.2F5,73,2,75,0.025316456,242,0.309917355
F5,5,L,S,LTS3,3,Tank5,5.2,5.2F5,58,20,78,0.266666667,242,0.32231405
F5,5,L,S,LTS3,4,Tank5,5.2,5.2F5,15,60,75,0.769230769,242,0.309917355
F5,5,L,G,LTG3,0,Tank5,5.3,5.3F5,958,0,958,0,958,1
F5,5,L,G,LTG3,1,Tank5,5.3,5.3F5,482,0,482,0,958,0.503131524
F5,5,L,G,LTG3,2,Tank5,5.3,5.3F5,350,0,350,0,958,0.365344468
F5,5,L,G,LTG3,3,Tank5,5.3,5.3F5,196,132,328,0.377142857,958,0.342379958
F5,5,L,G,LTG3,4,Tank5,5.3,5.3F5,9,324,333,0.987804878,958,0.347599165
F5,5,H,S,HTS6,0,Tank6,6.1,6.1F5,NA,NA,NA,NA,NA,NA
F5,5,H,S,HTS6,1,Tank6,6.1,6.1F5,NA,NA,NA,NA,NA,NA
F5,5,H,S,HTS6,2,Tank6,6.1,6.1F5,NA,NA,NA,NA,NA,NA
F5,5,H,S,HTS6,3,Tank6,6.1,6.1F5,NA,NA,NA,NA,NA,NA
F5,5,H,S,HTS6,4,Tank6,6.1,6.1F5,NA,NA,NA,NA,NA,NA
F5,5,H,G,HTG6,0,Tank6,6.2,6.2F5,394,0,394,0,394,1
F5,5,H,G,HTG6,1,Tank6,6.2,6.2F5,254,0,254,0,394,0.644670051
F5,5,H,G,HTG6,2,Tank6,6.2,6.2F5,176,29,205,0.114173228,394,0.520304569
F5,5,H,G,HTG6,3,Tank6,6.2,6.2F5,16,185,201,0.902439024,394,0.510152284
F5,5,H,G,HTG6,4,Tank6,6.2,6.2F5,3,193,196,0.960199005,394,0.497461929
F5,5,H,C,HTC6,0,Tank6,6.3,6.3F5,213,0,213,0,213,1
F5,5,H,C,HTC6,1,Tank6,6.3,6.3F5,87,0,87,0,213,0.408450704
F5,5,H,C,HTC6,2,Tank6,6.3,6.3F5,39,26,65,0.298850575,213,0.305164319
